Region 1,3.342818667E7,3120072.536,D
Region 1,3.342818777E7,3123341.659,D
Region 1,3.342875733E7,3120213.284,D
Region 1,3.342704295E7,3121705.473,F
Region 1,3.342736229E7,3123630.215,E
Region 1,3.3427628E7,3120643.46,E
Region 1,3.342714866E7,3119564.409,F
Region 1,3.342832981E7,3121667.401,E
Region 1,3.342597417E7,3122520.599,F
Region 1,3.342650627E7,3124875.694,E
Region 1,3.342847376E7,3122229.41,D
Region 1,3.342633582E7,3124292.448,E
Region 1,3.342502559E7,3123426.788,A
Region 1,3.342672478E7,3124955.08,D
Region 1,3.342770782E7,3121820.981,E
Region 1,3.34254956E7,3124955.187,E
Region 1,3.342695134E7,3124826.876,E
Region 1,3.342691372E7,3120015.175,F
Region 1,3.342726132E7,3121375.894,F
Region 1,3.342694007E7,3123856.261,E
Region 1,3.342440977E7,3124278.262,F
Region 1,3.342603027E7,3125173.927,E
Region 1,3.342559243E7,3124428.37,G
Region 1,3.342901891E7,3121446.568,D
Region 1,3.342895853E7,3120767.358,D
Region 1,3.342728548E7,3124332.358,A
Region 1,3.342720838E7,3124567.907,A
Region 1,3.342770621E7,3119966.653,E
Region 1,3.342853994E7,3122846.925,D
Region 1,3.342658175E7,3123143.709,E
Region 1,3.342666095E7,3124290.437,E
Region 1,3.342578496E7,3123833.051,F
Region 1,3.342673915E7,3120632.871,F
Region 1,3.342751319E7,3119052.361,F
Region 1,3.342744165E7,3122975.835,E
Region 1,3.342434671E7,3123670.692,F
Region 1,3.342807622E7,3121069.354,E
Region 1,3.342608652E7,3124689.477,D
Region 1,3.342621458E7,3124924.693,D
Region 1,3.34287329E7,3119725.519,D
Region 1,3.342722643E7,3122228.266,A
Region 1,3.342901799E7,3122002.846,D
Region 1,3.342804315E7,3124007.958,D
Region 1,3.342682678E7,3124051.045,F
Region 1,3.342623326E7,3123665.971,F
Region 1,3.342678892E7,3120988.676,F
Region 1,3.3426271E7,3122831.246,F
